Day,Ramayana,Mahabharata,Money Heist,Asur,Paatal Lok
01/03/20,5,4,1,0,0
02/03/20,5,4,1,0,0
03/03/20,5,4,1,0,0
04/03/20,6,4,1,0,0
05/03/20,6,4,2,0,0
06/03/20,6,4,3,1,0
07/03/20,17,5,2,1,0
08/03/20,10,5,2,1,0
09/03/20,6,5,2,1,0
10/03/20,7,5,2,2,0
11/03/20,5,4,2,2,0
12/03/20,5,4,2,1,0
13/03/20,5,4,2,1,0
14/03/20,6,4,2,3,0
15/03/20,6,5,3,5,0
16/03/20,5,4,2,4,0
17/03/20,5,4,2,4,0
18/03/20,5,4,2,4,0
19/03/20,4,3,3,6,0
20/03/20,4,4,3,8,0
21/03/20,6,4,4,10,0
22/03/20,9,6,4,12,0
23/03/20,7,5,5,10,0
24/03/20,7,5,5,9,0
25/03/20,9,7,6,12,0
26/03/20,10,7,7,12,0
27/03/20,32,10,7,11,0
28/03/20,100,57,7,12,0
29/03/20,68,50,9,15,0
30/03/20,54,38,10,11,0
31/03/20,56,33,12,9,0
01/04/20,59,32,14,8,0
02/04/20,66,27,37,8,0
03/04/20,58,27,76,7,0
04/04/20,60,27,52,8,0
05/04/20,58,27,40,8,0
06/04/20,46,23,34,5,0
07/04/20,44,22,34,5,0
08/04/20,42,25,33,5,0
09/04/20,44,25,31,6,0
10/04/20,50,25,30,7,0
11/04/20,50,21,30,6,0
12/04/20,58,25,30,9,0
13/04/20,53,26,26,6,0
14/04/20,53,26,23,6,0
15/04/20,56,26,25,5,0
16/04/20,65,32,24,5,0
17/04/20,62,29,23,6,0
18/04/20,96,31,25,6,0
19/04/20,59,32,25,6,0
20/04/20,36,39,20,5,0
21/04/20,30,35,20,5,0
22/04/20,26,33,19,5,0
23/04/20,26,38,18,4,0
24/04/20,25,36,18,3,0
25/04/20,24,40,19,5,0
26/04/20,26,42,19,5,0
27/04/20,25,39,17,4,0
28/04/20,24,41,15,4,0
29/04/20,22,39,13,3,0
30/04/20,24,34,13,3,0
01/05/20,46,38,14,4,0
02/05/20,67,38,15,3,0
03/05/20,41,40,15,3,0
04/05/20,24,41,12,3,1
05/05/20,18,39,12,3,2
06/05/20,15,41,11,3,1
07/05/20,14,44,13,2,1
08/05/20,13,48,14,3,1
09/05/20,14,51,15,3,1
10/05/20,14,50,13,3,1
11/05/20,12,46,11,3,1
12/05/20,11,44,9,2,1
13/05/20,11,48,10,2,1
14/05/20,11,37,11,2,5
15/05/20,11,30,10,3,26
16/05/20,11,29,10,3,25
17/05/20,11,24,11,3,21
18/05/20,9,21,9,2,14
19/05/20,9,25,9,3,12
20/05/20,9,22,10,2,12
21/05/20,9,18,9,3,10
22/05/20,9,20,9,3,9
23/05/20,10,20,9,3,10
24/05/20,10,20,9,3,10
25/05/20,9,20,8,3,9
26/05/20,9,18,8,2,7
27/05/20,7,18,8,2,8
28/05/20,8,18,8,2,7
29/05/20,8,17,8,2,5
