Year,Value
"Dec 2014",55.33
"Jan 2015",66.06
"Feb 2015",67.88
"Mar 2015",62.97
"Apr 2015",63.2
"May 2015",60.66
"Jun 2015",58.14
"Jul 2015",60.03
"Aug 2015",57.91
"Sep 2015",59.62
"Oct 2015",58.09
"Nov 2015",59.92
"Dec 2015",59.24
"Jan 2016",48.27
"Feb 2016",48.78
"Mar 2016",50.96
"Apr 2016",49.95
"May 2016",52.21
"Jun 2016",46.81
"Jul 2016",47.33
"Aug 2016",46.34
"Sep 2016",59.08
"Oct 2016",74.43
"Nov 2016",65.99
"Dec 2016",72.92
"Jan 2017",81.12
"Feb 2017",80.38
"Mar 2017",84.65
"Apr 2017",83.02
"May 2017",82.53
"Jun 2017",88.26
"Jul 2017",86.19
"Aug 2017",84.31
"Sep 2017",68.95
"Oct 2017",55.74
"Nov 2017",60.68
"Dec 2017",53.7
"Jan 2018",49
"Feb 2018",50.04
"Mar 2018",49.21
"Apr 2018",51.81
"May 2018",48.14
"Jun 2018",48.62
"Jul 2018",48.05
"Aug 2018",46.51
"Sep 2018",48.27
"Oct 2018",45.85
"Nov 2018",45.97
"Dec 2018",42.9
"Jan 2019",42.83
"Feb 2019",40.35
"Mar 2019",36.53
"Apr 2019",36.25
"May 2019",34.61
"Jun 2019",32.98
"Jul 2019",31.26
"Aug 2019",32.73
"Sep 2019",29.84
"Oct 2019",29.82
"Nov 2019",29.18
"Dec 2019",27.65
"Jan 2020",24.69
