Year,Value
"Oct 2014",18.67
"Nov 2014",15.04
"Dec 2014",16.38
"Jan 2015",22.8
"Feb 2015",22.86
"Mar 2015",20.02
"Apr 2015",24.61
"May 2015",19.54
"Jun 2015",17.41
"Jul 2015",30.45
"Aug 2015",19.24
"Sep 2015",15.52
"Oct 2015",20.21
"Nov 2015",26.07
"Dec 2015",21.07
"Jan 2016",22.59
"Feb 2016",24.29
"Mar 2016",25.35
"Apr 2016",20.78
"May 2016",21.51
"Jun 2016",20.78
"Jul 2016",25.6
"Aug 2016",23.97
"Sep 2016",23.52
"Oct 2016",23.28
"Nov 2016",22.66
"Dec 2016",23.99
"Jan 2017",25.3
"Feb 2017",15.76
"Mar 2017",14.96
"Apr 2017",15.24
"May 2017",17.59
"Jun 2017",20.21
"Jul 2017",12.48
"Aug 2017",15.74
"Sep 2017",16.49
"Oct 2017",20.58
"Nov 2017",16.91
"Dec 2017",17.76
"Jan 2018",19.89
"Feb 2018",24.41
"Mar 2018",28.17
"Apr 2018",26.09
"May 2018",16.55
"Jun 2018",18.36
"Jul 2018",22.29
"Aug 2018",17.14
"Sep 2018",18.99
"Oct 2018",13.31
"Nov 2018",11.03
"Dec 2018",12.88
"Jan 2019",8.92
"Feb 2019",5.61
"Mar 2019",0.11
"Apr 2019",-4.43
"May 2019",2.82
"Jun 2019",6.21
"Jul 2019",1.77
"Aug 2019",3.87
"Sep 2019",1.09
"Oct 2019",4.02
"Nov 2019",11.23
"Dec 2019",2.61
"Jan 2020",2.19859290054365
"Feb 2020",8.97876464886775
"Mar 2020",-33.0631252155916
"Apr 2020",-100
"May 2020",-97.6942076197822
