Year,Value
2014-10-01,-4.974274779
2014-11-01,9.097960922
2014-12-01,13.88157173
2015-01-01,2.496511523
2015-02-01,6.446854913
2015-03-01,2.480192719
2015-04-01,18.29443593
2015-05-01,6.738552708
2015-06-01,0.779526569
2015-07-01,14.64872945
2015-08-01,5.792029241
2015-09-01,7.692533166
2015-10-01,21.64072161
2015-11-01,9.440164116
2015-12-01,12.09189697
2016-01-01,-0.148766228
2016-02-01,-2.867263699
2016-03-01,0.645656705
2016-04-01,3.110688226
2016-05-01,-1.069169791
2016-06-01,-4.940966985
2016-07-01,10.40654261
2016-08-01,8.943461202
2016-09-01,15.1734049
2016-10-01,-0.178614691
2016-11-01,-0.321646147
2016-12-01,-8.905022409
2017-01-01,11.67273247
2017-02-01,5.238822125
2017-03-01,6.400614525
2017-04-01,15.05753516
2017-05-01,5.248572437
2017-06-01,-11.13112886
2017-07-01,8.47583263
2017-08-01,11.80192458
2017-09-01,6.65951403
2017-10-01,-4.558541495
2017-11-01,5.584464152
2017-12-01,1.849983777
2018-01-01,-1.722576135
2018-02-01,2.891456963
2018-03-01,2.067306989
2018-04-01,5.986655522
2018-05-01,20.46680116
2018-06-01,34.32570316
2018-07-01,-0.154103537
2018-08-01,-0.759668508
2018-09-01,-4.6027997
2018-10-01,0.626265245
2018-11-01,-0.767584361
2018-12-01,0.309873676
2019-01-01,-1.139124467
2019-02-01,-3.094194541
2019-03-01,-5.091784992
2019-04-01,-20.82391233
2019-05-01,-26.12707162
2019-06-01,-23.63259289
2019-07-01,-36.86635075
2019-08-01,-42.76106542
2019-09-01,-34.18246005
2019-10-01,-8.675486844
2019-11-01,-12.78936956
2019-12-01,-13.07957918
2020-01-01,-9.915228043
2020-02-01,-11.0421659
2020-03-01,-55.01120427
2020-04-01,-100
2020-05-01,-85
2020-06-01,-53.9
