Year,Value
"Oct 2014",-12.31756954
"Nov 2014",-32.26548474
"Dec 2014",-28.88046217
"Jan 2015",-26.68005095
"Feb 2015",-32.80796729
"Mar 2015",-30.37857422
"Apr 2015",-18.97398728
"May 2015",-18.14004577
"Jun 2015",-13.02968023
"Jul 2015",-12.46746809
"Aug 2015",-20.87518587
"Sep 2015",-34.03508259
"Oct 2015",-16.5228319
"Nov 2015",29.44863193
"Dec 2015",-0.168187511
"Jan 2016",0.482864209
"Feb 2016",9.110688061
"Mar 2016",14.34358368
"Apr 2016",14.37978332
"May 2016",15.31890151
"Jun 2016",14.57515204
"Jul 2016",8.305252725
"Aug 2016",16.28058602
"Sep 2016",49.39563973
"Oct 2016",44.25481582
"Nov 2016",-13.05748107
"Dec 2016",7.670800774
"Jan 2017",5.54676512
"Feb 2017",7.465104686
"Mar 2017",24.53776732
"Apr 2017",19.30438183
"May 2017",11.69763022
"Jun 2017",-1.713731081
"Jul 2017",14.39813846
"Aug 2017",34.45364293
"Sep 2017",50.27686644
"Oct 2017",-2.687765555
"Nov 2017",17.28037681
"Dec 2017",27.73819828
"Jan 2018",38.12220649
"Feb 2018",38.60315435
"Mar 2018",52.17400332
"Apr 2018",20.37256223
"May 2018",19.62394528
"Jun 2018",35.49561782
"Jul 2018",19.90172552
"Aug 2018",8.892432234
"Sep 2018",-12.25747817
"Oct 2018",23.16951731
"Nov 2018",31.1565252
"Dec 2018",8.928850665
"Jan 2019",2.427994292
"Feb 2019",-0.51666074
"Mar 2019",-14.97127731
"Apr 2019",-13.23651766
"May 2019",-15.68917723
"Jun 2019",-13.6120348
"Jul 2019",-13.13687742
"Aug 2019",-16.53525569
"Sep 2019",-4.710650754
"Oct 2019",-5.034827108
"Nov 2019",-13.1893719498581
"Dec 2019",2.41649918652502
"Jan 2020",4.7605031298444
"Feb 2020",21.3414634146341
"Mar 2020",-49.8804461205167
"Apr 2020",-79.379304332665
"May 2020",-54.6711194505173
