Year,Value
"Oct 2014",4.62
"Nov 2014",3.27
"Dec 2014",4.28
"Jan 2015",5.19
"Feb 2015",5.37
"Mar 2015",5.25
"Apr 2015",4.87
"May 2015",5.01
"Jun 2015",5.4
"Jul 2015",3.69
"Aug 2015",3.74
"Sep 2015",4.41
"Oct 2015",5
"Nov 2015",5.41
"Dec 2015",5.61
"Jan 2016",5.69
"Feb 2016",5.26
"Mar 2016",4.83
"Apr 2016",5.47
"May 2016",5.76
"Jun 2016",5.77
"Jul 2016",6.07
"Aug 2016",5.05
"Sep 2016",4.39
"Oct 2016",4.2
"Nov 2016",3.63
"Dec 2016",3.41
"Jan 2017",3.17
"Feb 2017",3.65
"Mar 2017",3.89
"Apr 2017",2.99
"May 2017",2.18
"Jun 2017",1.46
"Jul 2017",2.36
"Aug 2017",3.28
"Sep 2017",3.28
"Oct 2017",3.58
"Nov 2017",4.88
"Dec 2017",5.21
"Jan 2018",5.07
"Feb 2018",4.44
"Mar 2018",4.28
"Apr 2018",4.58
"May 2018",4.87
"Jun 2018",4.92
"Jul 2018",4.17
"Aug 2018",3.69
"Sep 2018",3.7
"Oct 2018",3.38
"Nov 2018",2.33
"Dec 2018",2.11
"Jan 2019",1.97
"Feb 2019",2.57
"Mar 2019",2.86
"Apr 2019",2.99
"May 2019",3.05
"Jun 2019",3.18
"Jul 2019",3.15
"Aug 2019",3.28
"Sep 2019",3.99
"Oct 2019",4.62
"Nov 2019",5.54
"Dec 2019",7.35
"Jan 2020",7.59
"Feb 2020",6.58
"Mar 2020",5.8405
