Year,Value
"Oct 2014",5.04
"Nov 2014",4.58
"Dec 2014",4.28
"Jan 2015",3.99
"Feb 2015",3.88
"Mar 2015",3.93
"Apr 2015",3.98
"May 2015",4.36
"Jun 2015",4.56
"Jul 2015",4.04
"Aug 2015",3.86
"Sep 2015",4.05
"Oct 2015",4.14
"Nov 2015",4.35
"Dec 2015",4.48
"Jan 2016",4.5
"Feb 2016",4.79
"Mar 2016",4.54
"Apr 2016",4.71
"May 2016",4.49
"Jun 2016",4.39
"Jul 2016",4.52
"Aug 2016",4.59
"Sep 2016",4.77
"Oct 2016",4.86
"Nov 2016",4.9
"Dec 2016",4.83
"Jan 2017",4.95
"Feb 2017",4.75
"Mar 2017",4.83
"Apr 2017",4.44
"May 2017",4.14
"Jun 2017",3.75
"Jul 2017",3.8
"Aug 2017",4.36
"Sep 2017",4.47
"Oct 2017",4.4
"Nov 2017",4.75
"Dec 2017",4.98
"Jan 2018",5
"Feb 2018",5.03
"Mar 2018",5.23
"Apr 2018",5.8
"May 2018",6.12
"Jun 2018",6.29
"Jul 2018",6.29
"Aug 2018",5.95
"Sep 2018",5.82
"Oct 2018",6.2
"Nov 2018",5.69
"Dec 2018",5.66
"Jan 2019",5.35
"Feb 2019",5.29
"Mar 2019",5.02
"Apr 2019",4.55
"May 2019",4.23
"Jun 2019",4.13
"Jul 2019",4.25
"Aug 2019",4.2
"Sep 2019",3.99
"Oct 2019",3.44
"Nov 2019",3.5
"Dec 2019",3.79
"Jan 2020",4.19
"Feb 2020",4.08
"Mar 2020",3.91
