Year,Value
"Oct 2014",5.8
"Nov 2014",5.8
"Dec 2014",5.8
"Jan 2015",8.4
"Feb 2015",8.4
"Mar 2015",8.4
"Apr 2015",7.4
"May 2015",7.4
"Jun 2015",7.4
"Jul 2015",5.9
"Aug 2015",5.9
"Sep 2015",5.9
"Oct 2015",5.8
"Nov 2015",5.8
"Dec 2015",5.8
"Jan 2016",4.1
"Feb 2016",4.1
"Mar 2016",4.1
"Apr 2016",5.3
"May 2016",5.3
"Jun 2016",5.3
"Jul 2016",6.8
"Aug 2016",6.8
"Sep 2016",6.8
"Oct 2016",3.8
"Nov 2016",3.8
"Dec 2016",3.8
"Jan 2017",6.6
"Feb 2017",6.6
"Mar 2017",6.6
"Apr 2017",5.4
"May 2017",5.4
"Jun 2017",5.4
"Jul 2017",7.3
"Aug 2017",7.3
"Sep 2017",7.3
"Oct 2017",8.4
"Nov 2017",8.4
"Dec 2017",8.4
"Jan 2018",9.4
"Feb 2018",9.4
"Mar 2018",9.4
"Apr 2018",10.9
"May 2018",10.9
"Jun 2018",10.9
"Jul 2018",8.4
"Aug 2018",8.4
"Sep 2018",8.4
"Oct 2018",9.4
"Nov 2018",9.4
"Dec 2018",9.4
"Jan 2019",9.8
"Feb 2019",9.8
"Mar 2019",9.8
"Apr 2019",8.6
"May 2019",8.6
"Jun 2019",8.6
"Jul 2019",-0.9
"Aug 2019",-0.9
"Sep 2019",-0.9
"Oct 2019",-1.6
"Nov 2019",-1.6
"Dec 2019",-1.6
"Jan 2020",2.05
"Feb 2020",2.05
"Mar 2020",2.05
