Year,Value
"Oct 2014",8.2087
"Nov 2014",8.1377
"Dec 2014",8.288
"Jan 2015",10.1622
"Feb 2015",11.0864
"Mar 2015",10.6217
"Apr 2015",10.6094
"May 2015",10.8281
"Jun 2015",10.881
"Jul 2015",10.6534
"Aug 2015",10.5749
"Sep 2015",10.5604
"Oct 2015",10.7353
"Nov 2015",10.7644
"Dec 2015",10.7385
"Jan 2016",12.1594
"Feb 2016",12.3558
"Mar 2016",12.7832
"Apr 2016",13.343
"May 2016",13.1169
"Jun 2016",12.8864
"Jul 2016",12.9582
"Aug 2016",12.9407
"Sep 2016",12.9472
"Oct 2016",12.5276
"Nov 2016",12.3059
"Dec 2016",11.9719
"Jan 2017",11.2072
"Feb 2017",10.9095
"Mar 2017",10.4255
"Apr 2017",10.3292
"May 2017",10.3943
"Jun 2017",10.6037
"Jul 2017",10.8822
"Aug 2017",10.93
"Sep 2017",11.0083
"Oct 2017",10.9475
"Nov 2017",10.8672
"Dec 2017",10.9733
"Jan 2018",10.1693
"Feb 2018",10.5917
"Mar 2018",10.4145
"Apr 2018",10.3879
"May 2018",10.0519
"Jun 2018",9.759
"Jul 2018",9.6224
"Aug 2018",9.4205
"Sep 2018",9.4219
"Oct 2018",9.1887
"Nov 2018",9.2172
"Dec 2018",9.2407
"Jan 2019",9.6914
"Feb 2019",10.3225
"Mar 2019",10.2304
"Apr 2019",10.3217
"May 2019",10.1634
"Jun 2019",10.354
"Jul 2019",10.4576
"Aug 2019",10.4801
"Sep 2019",10.7188
"Oct 2019",11.0244
"Nov 2019",11.2882
"Dec 2019",11.4803
"Jan 2020",11.4547
"Feb 2020",12.2464
"Mar 2020",12.9927
"Apr 2020",15.1096
"May 2020",16.5454
