Year,Value
"Oct 2014",-0.823747868
"Nov 2014",-0.568926979
"Dec 2014",-1.636907478
"Jan 2015",0.796196355
"Feb 2015",0.325778853
"Mar 2015",-0.723605032
"Apr 2015",-0.442246159
"May 2015",-1.63871481
"Jun 2015",-0.078093162
"Jul 2015",0.295710597
"Aug 2015",-2.256362315
"Sep 2015",-1.719308761
"Oct 2015",1.752367717
"Nov 2015",-1.693289787
"Dec 2015",-0.652294934
"Jan 2016",-1.090570584
"Feb 2016",-1.352572455
"Mar 2016",1.840217111
"Apr 2016",0.738718735
"May 2016",-0.705327576
"Jun 2016",-0.539653749
"Jul 2016",0.156926293
"Aug 2016",0.383952602
"Sep 2016",0.269631319
"Oct 2016",0.016141108
"Nov 2016",-1.338524654
"Dec 2016",-0.362367363
"Jan 2017",-0.337788183
"Feb 2017",1.559371916
"Mar 2017",1.776250594
"Apr 2017",2.053824284
"May 2017",0.09478579
"Jun 2017",-0.014890532
"Jul 2017",-0.012812078
"Aug 2017",0.769111598
"Sep 2017",-0.786433929
"Oct 2017",-0.918582004
"Nov 2017",0.308383456
"Dec 2017",0.946391766
"Jan 2018",0.913497286
"Feb 2018",-1.247040617
"Mar 2018",-0.92202459
"Apr 2018",-0.968386048
"May 2018",-2.873774378
"Jun 2018",-0.345197932
"Jul 2018",-1.38185354
"Aug 2018",-1.245032336
"Sep 2018",-3.830907323
"Oct 2018",-1.913974255
"Nov 2018",2.534511455
"Dec 2018",1.45301103
"Jan 2019",-0.014613553
"Feb 2019",-0.667151291
"Mar 2019",2.443771243
"Apr 2019",0.100903081
"May 2019",-0.595275736
"Jun 2019",0.533957709
"Jul 2019",0.964761443
"Aug 2019",-3.469384497
"Sep 2019",-0.28141295
"Oct 2019",0.421194316
"Nov 2019",-0.601118394946498
"Dec 2019",0.419128846
"Jan 2020",-0.150606595208647
"Feb 2020",-0.288484465
"Mar 2020",-4.11897489423838
"Apr 2020",-2.418129313
"May 2020",0.734536204739888
