Year,Value
"Oct 2014",-20.77316859
"Nov 2014",-23.46079994
"Dec 2014",-14.92794845
"Jan 2015",-13.89334077
"Feb 2015",-13.29542922
"Mar 2015",-19.16243292
"Apr 2015",-20.43237221
"May 2015",-18.61881876
"Jun 2015",-20.0724661
"Jul 2015",-21.94485705
"Aug 2015",-22.31478432
"Sep 2015",-18.85909663
"Oct 2015",-18.42464959
"Nov 2015",-20.89770135
"Dec 2015",-20.29142998
"Jan 2016",-15.31498603
"Feb 2016",-13.61910031
"Mar 2016",-8.75825062
"Apr 2016",-10.52415175
"May 2016",-11.62581462
"Jun 2016",-15.42150457
"Jul 2016",-14.99751048
"Aug 2016",-15.13968566
"Sep 2016",-16.61078097
"Oct 2016",-19.24526867
"Nov 2016",-25.02545554
"Dec 2016",-17.97856435
"Jan 2017",-18.13496357
"Feb 2017",-16.14536612
"Mar 2017",-15.37237709
"Apr 2017",-22.48039766
"May 2017",-23.0318301
"Jun 2017",-23.37757032
"Jul 2017",-21.09882292
"Aug 2017",-21.39734317
"Sep 2017",-14.12235254
"Oct 2017",-24.1971539
"Nov 2017",-22.30625466
"Dec 2017",-20.3227898
"Jan 2018",-23.57247922
"Feb 2018",-19.11278333
"Mar 2018",-18.72294357
"Apr 2018",-21.26555277
"May 2018",-20.54882133
"Jun 2018",-24.52385022
"Jul 2018",-26.56581007
"Aug 2018",-24.37169973
"Sep 2018",-21.15504874
"Oct 2018",-25.23260752
"Nov 2018",-25.21783774
"Dec 2018",-20.64224104
"Jan 2019",-22.17040557
"Feb 2019",-15.32428484
"Mar 2019",-14.39269552
"Apr 2019",-23.91363773
"May 2019",-21.98982572
"Jun 2019",-24.24681033
"Jul 2019",-21.27549161
"Aug 2019",-20.95414715
"Sep 2019",-18.18389882
"Oct 2019",-18.09055706
"Nov 2019",-19.49863013
"Dec 2019",-18.28031124
"Jan 2020",-22.6095299961561
"Feb 2020",-15.12048803
"Mar 2020",-18.5619584755999
"Apr 2020",-24.6201216338682
"May 2020",-7.62844767198063
