Year,Value
"Oct 2014",11.07991803
"Nov 2014",10.50604057
"Dec 2014",9.696823449
"Jan 2015",9.694631161
"Feb 2015",9.365521392
"Mar 2015",8.560310229
"Apr 2015",8.887407748
"May 2015",8.954782441
"Jun 2015",8.394479402
"Jul 2015",8.406757121
"Aug 2015",8.408836224
"Sep 2015",8.635948105
"Oct 2015",8.325233302
"Nov 2015",8.791187141
"Dec 2015",9.299432949
"Jan 2016",9.83280086
"Feb 2016",9.887201524
"Mar 2016",9.061391795
"Apr 2016",8.444203513
"May 2016",8.392905174
"Jun 2016",7.945206021
"Jul 2016",8.333336089
"Aug 2016",8.200330042
"Sep 2016",10.77135507
"Oct 2016",6.670015175
"Nov 2016",4.753231351
"Dec 2016",4.013606722
"Jan 2017",3.510983379
"Feb 2017",3.289248891
"Mar 2017",8.364061603
"Apr 2017",4.538701776
"May 2017",4.083590507
"Jun 2017",4.821277241
"Jul 2017",5.293639444
"Aug 2017",5.497948032
"Sep 2017",6.091155958
"Oct 2017",6.559740069
"Nov 2017",8.847662301
"Dec 2017",10.03692977
"Jan 2018",9.524957801
"Feb 2018",9.754413482
"Mar 2018",8.371750471
"Apr 2018",10.68083444
"May 2018",11.12912198
"Jun 2018",11.10353523
"Jul 2018",10.55138059
"Aug 2018",12.42331137
"Sep 2018",11.30710974
"Oct 2018",13.37617004
"Nov 2018",13.75493198
"Dec 2018",12.77569478
"Jan 2019",13.10687669
"Feb 2019",13.18362039
"Mar 2019",12.29114215
"Apr 2019",11.88117976
"May 2019",11.43866932
"Jun 2019",11.05572402
"Jul 2019",11.38192761
"Aug 2019",9.806302909
"Sep 2019",8.058784242
"Oct 2019",8.25953526743435
"Nov 2019",7.176066048
"Dec 2019",7.02056239607798
"Jan 2020",8.481502785
"Feb 2020",7.32183786689999
"Mar 2020",6.696374483
"Apr 2020",7.30590333817867
