Year,Value
"Oct 2014",8.85
"Nov 2014",9.28
"Dec 2014",3.32
"Jan 2015",2.93
"Feb 2015",3
"Mar 2015",0.06
"Apr 2015",-0.52
"May 2015",2.4
"Jun 2015",1.4
"Jul 2015",3
"Aug 2015",4.04
"Sep 2015",2.42
"Oct 2015",1.21
"Nov 2015",0.21
"Dec 2015",1.82
"Jan 2016",4.21
"Feb 2016",7.69
"Mar 2016",7.67
"Apr 2016",8.71
"May 2016",5.23
"Jun 2016",6.98
"Jul 2016",3.1
"Aug 2016",3.09
"Sep 2016",5.3
"Oct 2016",7.09
"Nov 2016",3.16
"Dec 2016",5.6
"Jan 2017",3.36
"Feb 2017",0.55
"Mar 2017",5.25
"Apr 2017",2.61
"May 2017",3.9
"Jun 2017",0.99
"Jul 2017",2.89
"Aug 2017",4.38
"Sep 2017",4.73
"Oct 2017",5.02
"Nov 2017",6.94
"Dec 2017",3.8
"Jan 2018",6.19
"Feb 2018",5.38
"Mar 2018",4.47
"Apr 2018",4.69
"May 2018",4.09
"Jun 2018",7.76
"Jul 2018",7.31
"Aug 2018",4.72
"Sep 2018",4.29
"Oct 2018",4.76
"Nov 2018",3.33
"Dec 2018",2.12
"Jan 2019",1.54
"Feb 2019",2.23
"Mar 2019",5.81
"Apr 2019",5.16
"May 2019",3.84
"Jun 2019",1.22
"Jul 2019",2.64
"Aug 2019",-0.19
"Sep 2019",-5.12
"Oct 2019",-5.49
"Nov 2019",0.71
"Dec 2019",3.06
"Jan 2020",2.16
"Feb 2020",7.11
"Mar 2020",-9
"Apr 2020",-38.12
