Year,Value
"Oct 2014",51
"Nov 2014",53.6
"Dec 2014",52.9
"Jan 2015",53.3
"Feb 2015",53.5
"Mar 2015",53.2
"Apr 2015",52.5
"May 2015",51.2
"Jun 2015",49.2
"Jul 2015",52
"Aug 2015",52.6
"Sep 2015",51.5
"Oct 2015",52.6
"Nov 2015",50.2
"Dec 2015",51.6
"Jan 2016",53.3
"Feb 2016",51.2
"Mar 2016",54.3
"Apr 2016",52.8
"May 2016",50.9
"Jun 2016",49.1
"Jul 2016",51.1
"Aug 2016",49.1
"Sep 2016",51.1
"Oct 2016",51.1
"Nov 2016",49.1
"Dec 2016",47.6
"Jan 2017",49.4
"Feb 2017",50.7
"Mar 2017",52.3
"Apr 2017",51.3
"May 2017",52.5
"Jun 2017",52.7
"Jul 2017",46
"Aug 2017",49
"Sep 2017",51.1
"Oct 2017",51.3
"Nov 2017",50.3
"Dec 2017",53
"Jan 2018",52.5
"Feb 2018",49.7
"Mar 2018",50.8
"Apr 2018",51.9
"May 2018",50.4
"Jun 2018",53.3
"Jul 2018",54.1
"Aug 2018",51.9
"Sep 2018",51.6
"Oct 2018",53
"Nov 2018",54.5
"Dec 2018",53.6
"Jan 2019",53.6
"Feb 2019",53.8
"Mar 2019",52.7
"Apr 2019",51.7
"May 2019",51.7
"Jun 2019",50.8
"Jul 2019",53.9
"Aug 2019",52.6
"Sep 2019",49.8
"Oct 2019",49.6
"Nov 2019",52.7
"Dec 2019",53.7
"Jan 2020",56.3
"Feb 2020",57.6
"Mar 2020",50.6
"Apr 2020",7.2
"May 2020",14.8
