Year,Value
"Oct 2014",8.44779385
"Nov 2014",8.468746293
"Dec 2014",3.591579861
"Jan 2015",1.441908714
"Feb 2015",3.117450823
"Mar 2015",1.054621431
"Apr 2015",1.114864865
"May 2015",1.253815962
"Jun 2015",2.857470737
"Jul 2015",1.301735648
"Aug 2015",0.782667877
"Sep 2015",2.340867159
"Oct 2015",4.606590451
"Nov 2015",-4.188080919
"Dec 2015",-0.890332041
"Jan 2016",0.306779834
"Feb 2016",-0.725122713
"Mar 2016",-1.171605789
"Apr 2016",-3.68637933
"May 2016",-0.570690212
"Jun 2016",2.967756332
"Jul 2016",-1.878088962
"Aug 2016",-3.71412493
"Sep 2016",-2.704225352
"Oct 2016",-2.635808422
"Nov 2016",5.535265921
"Dec 2016",-0.126823082
"Jan 2017",0.336425731
"Feb 2017",3.461063041
"Mar 2017",7.700737199
"Apr 2017",4.613783534
"May 2017",3.920294564
"Jun 2017",2.763029581
"Jul 2017",5.495858518
"Aug 2017",7.738164816
"Sep 2017",5.906195715
"Oct 2017",2.531088368
"Nov 2017",3.060452038
"Dec 2017",6.994708995
"Jan 2018",6.360495834
"Feb 2018",4.094710546
"Mar 2018",3.912681528
"Apr 2018",8.301094285
"May 2018",6.221342226
"Jun 2018",4.871362294
"Jul 2018",4.127320955
"Aug 2018",5.229467289
"Sep 2018",3.674138874
"Oct 2018",9.62756252
"Nov 2018",5.131164743
"Dec 2018",3.253881911
"Jan 2019",2.75124188
"Feb 2019",4.340567613
"Mar 2019",6.587146163
"Apr 2019",3.174117167
"May 2019",2.845089767
"Jun 2019",1.970641464
"Jul 2019",1.630324027
"Aug 2019",-6.114032374
"Sep 2019",-6.602679042
"Oct 2019",-8.145682397
"Nov 2019",0.858369098712441
"Dec 2019",4.272030651
"Jan 2020",2.807735217553
"Feb 2020",6.49
"Mar 2020",-13.92183063
"Apr 2020",-35.30517361
"May 2020",-21.224840217495
