Week,dog_India,cat_India
07/06/15,69,30
14/06/15,74,33
21/06/15,69,31
28/06/15,67,32
05/07/15,66,31
12/07/15,64,30
19/07/15,66,31
26/07/15,66,34
02/08/15,63,34
09/08/15,64,34
16/08/15,68,36
23/08/15,67,34
30/08/15,65,35
06/09/15,67,37
13/09/15,67,42
20/09/15,69,39
27/09/15,69,28
04/10/15,70,28
11/10/15,65,27
18/10/15,70,27
25/10/15,66,33
01/11/15,66,29
08/11/15,69,27
15/11/15,69,30
22/11/15,70,42
29/11/15,69,37
06/12/15,70,27
13/12/15,71,26
20/12/15,75,28
27/12/15,73,28
03/01/16,73,58
10/01/16,74,33
17/01/16,72,28
24/01/16,76,26
31/01/16,73,25
07/02/16,74,26
14/02/16,73,23
21/02/16,72,24
28/02/16,71,24
06/03/16,74,24
13/03/16,72,23
20/03/16,78,24
27/03/16,79,25
03/04/16,76,25
10/04/16,75,26
17/04/16,76,26
24/04/16,72,26
01/05/16,70,25
08/05/16,73,26
15/05/16,70,25
22/05/16,68,27
29/05/16,72,29
05/06/16,70,29
12/06/16,69,30
19/06/16,71,30
26/06/16,69,30
03/07/16,78,30
10/07/16,72,30
17/07/16,73,30
24/07/16,71,29
31/07/16,70,35
07/08/16,71,31
14/08/16,75,29
21/08/16,76,31
28/08/16,74,31
04/09/16,76,32
11/09/16,74,33
18/09/16,73,39
25/09/16,70,29
02/10/16,69,24
09/10/16,78,25
16/10/16,72,24
23/10/16,72,29
30/10/16,79,26
06/11/16,76,25
13/11/16,79,25
20/11/16,80,26
27/11/16,79,33
04/12/16,79,32
11/12/16,81,24
18/12/16,81,23
25/12/16,80,24
01/01/17,80,28
08/01/17,80,46
15/01/17,82,26
22/01/17,83,23
29/01/17,80,23
05/02/17,81,24
12/02/17,80,24
19/02/17,82,23
26/02/17,81,24
05/03/17,79,22
12/03/17,81,23
19/03/17,81,23
26/03/17,80,23
02/04/17,82,23
09/04/17,80,23
16/04/17,80,23
23/04/17,78,24
30/04/17,76,23
07/05/17,75,24
14/05/17,78,24
21/05/17,78,24
28/05/17,76,24
04/06/17,75,25
11/06/17,78,26
18/06/17,78,25
25/06/17,81,26
02/07/17,80,27
09/07/17,81,27
16/07/17,79,26
23/07/17,77,27
30/07/17,76,29
06/08/17,78,28
13/08/17,80,28
20/08/17,79,27
27/08/17,79,28
03/09/17,79,30
10/09/17,81,34
17/09/17,76,38
24/09/17,77,25
01/10/17,79,25
08/10/17,76,24
15/10/17,84,24
22/10/17,84,28
29/10/17,86,26
05/11/17,82,25
12/11/17,83,27
19/11/17,86,32
26/11/17,85,33
03/12/17,84,25
10/12/17,86,22
17/12/17,84,23
24/12/17,88,23
31/12/17,88,32
07/01/18,87,46
14/01/18,89,24
21/01/18,87,23
28/01/18,85,22
04/02/18,85,22
11/02/18,85,23
18/02/18,89,22
25/02/18,86,22
04/03/18,87,22
11/03/18,87,22
18/03/18,87,22
25/03/18,89,23
01/04/18,85,23
08/04/18,81,21
15/04/18,84,21
22/04/18,83,22
29/04/18,80,22
06/05/18,79,23
13/05/18,78,22
20/05/18,78,23
27/05/18,79,24
03/06/18,77,25
10/06/18,81,25
17/06/18,79,25
24/06/18,77,25
01/07/18,73,25
08/07/18,75,25
15/07/18,75,26
22/07/18,75,27
29/07/18,75,27
05/08/18,76,29
12/08/18,77,27
19/08/18,79,27
26/08/18,79,26
02/09/18,76,26
09/09/18,76,27
16/09/18,76,27
23/09/18,73,25
30/09/18,75,25
07/10/18,72,22
14/10/18,76,22
21/10/18,74,27
28/10/18,73,23
04/11/18,75,22
11/11/18,76,23
18/11/18,79,29
25/11/18,74,32
02/12/18,74,25
09/12/18,71,22
16/12/18,74,22
23/12/18,75,22
30/12/18,73,35
06/01/19,73,29
13/01/19,76,23
20/01/19,75,22
27/01/19,72,22
03/02/19,70,22
10/02/19,69,21
17/02/19,72,21
24/02/19,68,21
03/03/19,69,21
10/03/19,71,21
17/03/19,73,21
24/03/19,69,21
31/03/19,67,21
07/04/19,69,21
14/04/19,69,21
21/04/19,67,21
28/04/19,67,21
05/05/19,66,21
12/05/19,68,23
19/05/19,65,22
26/05/19,68,24
02/06/19,66,23
09/06/19,67,23
16/06/19,68,24
23/06/19,67,24
30/06/19,64,22
07/07/19,65,24
14/07/19,68,24
21/07/19,68,25
28/07/19,70,26
04/08/19,67,28
11/08/19,70,26
18/08/19,71,26
25/08/19,70,25
01/09/19,68,26
08/09/19,70,27
15/09/19,70,30
22/09/19,70,26
29/09/19,66,22
06/10/19,69,22
13/10/19,72,23
20/10/19,66,24
27/10/19,74,23
03/11/19,72,24
10/11/19,70,25
17/11/19,73,30
24/11/19,74,35
01/12/19,74,24
08/12/19,73,22
15/12/19,70,22
22/12/19,75,23
29/12/19,74,32
05/01/20,74,30
12/01/20,74,23
19/01/20,71,23
26/01/20,72,21
02/02/20,70,22
09/02/20,69,21
16/02/20,73,23
23/02/20,71,21
01/03/20,70,21
08/03/20,71,21
15/03/20,71,21
22/03/20,84,30
29/03/20,100,44
05/04/20,89,34
12/04/20,90,36
19/04/20,89,32
26/04/20,86,29
03/05/20,89,30
10/05/20,87,30
17/05/20,84,29
24/05/20,86,30
